import time: self [us] | cumulative | imported package
import time:      1143 |       1143 |     flet.controls.material.button
import time:       960 |        960 |     flet.controls.material.card
import time:      1197 |       1197 |     flet.controls.material.checkbox
import time:      1465 |       1465 |     flet.controls.material.chip
import time:       953 |        953 |     flet.controls.material.circle_avatar
import time:      1460 |       1460 |     flet.controls.material.container
import time:      1665 |       1665 |       flet.controls.material.popup_menu_button
import time:      1990 |       3654 |     flet.controls.material.context_menu
import time:      2998 |       2998 |     flet.controls.material.datatable
import time:      1381 |       1381 |     flet.controls.material.date_picker
import time:      1038 |       1038 |     flet.controls.material.date_range_picker
import time:       592 |        592 |     flet.controls.material.divider
import time:       190 |        190 |     flet.controls.material.elevated_button
import time:      1610 |       1610 |     flet.controls.material.expansion_panel
import time:      1404 |       1404 |     flet.controls.material.expansion_tile
import time:       971 |        971 |     flet.controls.material.filled_button
import time:      1004 |       1004 |     flet.controls.material.filled_tonal_button
import time:      4441 |       4441 |     flet.controls.material.icon_button
import time:      1689 |       1689 |     flet.controls.material.list_tile
import time:      1087 |       1087 |     flet.controls.material.menu_item_button
import time:      1565 |       1565 |     flet.controls.material.navigation_rail
import time:      1042 |       1042 |     flet.controls.material.outlined_button
import time:      1002 |       1002 |     flet.controls.material.progress_bar
import time:       932 |        932 |     flet.controls.material.progress_ring
import time:      1079 |       1079 |     flet.controls.material.radio
import time:       616 |        616 |     flet.controls.material.radio_group
import time:      1053 |       1053 |     flet.controls.material.range_slider
import time:      1478 |       1478 |     flet.controls.material.reorderable_list_view
import time:      1635 |       1635 |     flet.controls.material.search_bar
import time:      2128 |       2128 |     flet.controls.material.segmented_button
import time:       621 |        621 |     flet.controls.material.selection_area
import time:      1249 |       1249 |     flet.controls.material.slider
import time:      1140 |       1140 |     flet.controls.material.submenu_button
import time:      1257 |       1257 |     flet.controls.material.switch
import time:      3746 |       3746 |     flet.controls.material.tabs
import time:      1025 |       1025 |     flet.controls.material.text_button
import time:      1253 |       1253 |     flet.controls.material.time_picker
import time:       643 |        643 |     flet.controls.material.vertical_divider
import time:       370 |        370 |       flet.controls.services.sensor_error_event
import time:       773 |       1143 |     flet.controls.services.accelerometer
import time:       720 |        720 |     flet.controls.services.barometer
import time:       963 |        963 |     flet.controls.services.battery
import time:       757 |        757 |     flet.controls.services.connectivity
import time:      1174 |       1174 |     flet.controls.services.file_picker
import time:       759 |        759 |     flet.controls.services.gyroscope
import time:       372 |        372 |     flet.controls.services.haptic_feedback
import time:       731 |        731 |     flet.controls.services.magnetometer
import time:       722 |        722 |     flet.controls.services.screen_brightness
import time:       655 |        655 |     flet.controls.services.semantics_service
import time:       664 |        664 |     flet.controls.services.shake_detector
import time:      1103 |       1103 |     flet.controls.services.share
import time:       750 |        750 |     flet.controls.services.user_accelerometer
import time:       381 |        381 |     flet.controls.services.wakelock
import time:       657 |        657 |         six
import time:        24 |         24 |           six.moves
import time:        28 |         51 |         six.moves.urllib
import time:       470 |       1177 |       repath
import time:       178 |       1355 |     flet.controls.template_route
import time:      1628 |     341452 |   flet
import time:      1343 |       1343 |       flet_video.types
import time:      1497 |       1497 |       flet_video.video
import time:       235 |       3074 |     flet_video
import time:       220 |        220 |     config
import time:       187 |        187 |     parser
import time:       276 |       3755 |   viewer
import time:       488 |     345694 | main
