import time: self [us] | cumulative | imported package
import time:       136 |        136 |             flet.components.hooks
import time:       552 |        552 |             flet.components.component_owned
import time:       391 |       1078 |           flet.components.hooks.hook
import time:       154 |        154 |             flet.components.utils
import time:       580 |        733 |           flet.components.hooks.use_effect
import time:       818 |        818 |           flet.components.observable
import time:       152 |        152 |                       flet.controls.exceptions
import time:      1480 |       1480 |                         _wmi
import time:       439 |       1919 |                       platform
import time:       148 |       2218 |                     flet.utils.platform_utils
import time:       190 |       2407 |                   flet.utils.browser
import time:       218 |        218 |                   flet.utils.classproperty
import time:       143 |        143 |                   flet.utils.deprecated
import time:       163 |        163 |                   flet.utils.deprecated_enum
import time:       139 |        139 |                   flet.utils.files
import time:       122 |        122 |                     flet.utils.typing_utils
import time:       200 |        322 |                   flet.utils.from_dict
import time:      1414 |       1414 |                       _hashlib
import time:        39 |         39 |                       _blake2
import time:       238 |       1690 |                     hashlib
import time:       120 |       1810 |                   flet.utils.hashing
import time:       169 |        169 |                   flet.utils.json_utils
import time:       131 |        131 |                   flet.utils.network
import time:       137 |        137 |                   flet.utils.object_model
import time:       125 |        125 |                   flet.utils.once
import time:       375 |        375 |                     unicodedata
import time:       127 |        502 |                   flet.utils.slugify
import time:       224 |        224 |                       hmac
import time:       169 |        392 |                     secrets
import time:       152 |        543 |                   flet.utils.strings
import time:       155 |        155 |                   flet.utils.vector
import time:       215 |       7173 |                 flet.utils
import time:        20 |       7192 |               flet.utils.typing_utils
import time:       668 |       7859 |             flet.controls.control_event
import time:       153 |        153 |               flet.utils.locks
import time:       216 |        369 |             flet.controls.id_counter
import time:       784 |        784 |             flet.controls.keys
import time:       203 |        203 |             flet.controls.ref
import time:       708 |       9922 |           flet.controls.base_control
import time:      1202 |      14067 |         flet.components.component
import time:       185 |        185 |         flet.components.public_utils
import time:       133 |        133 |                 flet.controls.material
import time:      1671 |       1671 |                     flet.controls.colors
import time:       178 |        178 |                       flet.controls.cupertino
import time:       496 |        673 |                     flet.controls.cupertino.cupertino_colors
import time:       255 |        255 |                     flet.controls.icon_data
import time:      2645 |       5242 |                   flet.controls.types
import time:       435 |       5677 |                 flet.controls.alignment
